"Starting coordinates: [-66.16498947143556, 45.30640634669566]"
"Ending coordinates: [-66.13752365112306, 45.292641220997034]"

PNumber,Lat,Lon,Depth
130,-66.1576859636,45.3036477802,-6.89316797256
131,-66.1576297856,45.3036265587,-6.86499977112
132,-66.1575736076,45.3036053371,-6.79937124252
133,-66.1575174296,45.3035841155,-6.68096399307
134,-66.1574612517,45.3035628938,-6.65500020981
135,-66.1574050738,45.3035416721,-6.60500001907
136,-66.157348896,45.3035204504,-6.51499986649
137,-66.1572927182,45.3034992287,-6.45200014114
138,-66.1572365404,45.3034780069,-6.43499994278
139,-66.1571803627,45.3034567851,-6.39427042007
140,-66.157124185,45.3034355633,-6.125
141,-66.1570680074,45.3034143415,-6.33493423462
142,-66.1570118298,45.3033931196,-6.23199987411
143,-66.1569556523,45.3033718977,-6.18200016022
144,-66.1568994748,45.3033506758,-6.17199993134
145,-66.1568432973,45.3033294538,-6.1420006752
146,-66.1567871199,45.3033082318,-6.06199979782
147,-66.1567309425,45.3032870098,-6.02082633972
148,-66.1566747652,45.3032657878,-5.97539806366
149,-66.1566185879,45.3032445657,-5.92412519455
150,-66.1565624107,45.3032233436,-5.84353303909
151,-66.1565062335,45.3032021215,-5.9451341629
152,-66.1564500563,45.3031808993,-5.81708717346
153,-66.1563938792,45.3031596772,-5.80700016022
154,-66.1563377021,45.303138455,-5.77528524399
155,-66.1562815251,45.3031172327,-5.74887752533
156,-66.1562253481,45.3030960105,-5.73299980164
157,-66.1561691711,45.3030747882,-5.71299982071
158,-66.1561129942,45.3030535658,-5.59299993515
159,-66.1560568174,45.3030323435,-5.60444784164
160,-66.1560006406,45.3030111211,-5.5529999733
161,-66.1559444638,45.3029898987,-5.50400018692
162,-66.155888287,45.3029686763,-5.4401473999
163,-66.1558321103,45.3029474538,-5.42471790314
164,-66.1557759337,45.3029262314,-5.38399982452
165,-66.1557197571,45.3029050088,-5.32910394669
166,-66.1556884373,45.3028658487,-5.26415061951
167,-66.1556571175,45.3028266886,-5.26399993896
168,-66.1556257978,45.3027875284,-5.24985790253
169,-66.1555944781,45.3027483683,-5.24601411819
170,-66.1555631585,45.3027092081,-5.17399978638
171,-66.1555318389,45.3026700479,-5.15399980545
172,-66.1555005194,45.3026308877,-5.1139998436
173,-66.1554691999,45.3025917275,-5.14400005341
174,-66.1554378804,45.3025525673,-5.16400003433
175,-66.155406561,45.3025134071,-5.07399988174
176,-66.1553752417,45.3024742469,-5.13100004196
177,-66.1553439223,45.3024350867,-5.08394527435
178,-66.1553126031,45.3023959265,-5.04600000381
179,-66.1552812838,45.3023567662,-4.98925018311
180,-66.1552499646,45.302317606,-4.99960565567
181,-66.1552186455,45.3022784457,-4.96099996567
182,-66.1551873264,45.3022392854,-4.89941501617
183,-66.1551560073,45.3022001252,-4.89099979401
184,-66.1551246883,45.3021609649,-4.90100002289
185,-66.1550933693,45.3021218046,-4.89100027084
186,-66.1550620504,45.3020826443,-4.88684797287
187,-66.1550307315,45.302043484,-4.88100004196
188,-66.1549994127,45.3020043236,-4.87100028992
189,-66.1549680939,45.3019651633,-4.88100004196
190,-66.1549367751,45.301926003,-4.89911270142
191,-66.1549054564,45.3018868426,-4.83099985123
192,-66.1548741377,45.3018476823,-4.87099981308
193,-66.1548428191,45.3018085219,-4.84100008011
194,-66.1548115005,45.3017693615,-4.7610001564
195,-66.154780182,45.3017302012,-4.7610001564
196,-66.1547488635,45.3016910408,-4.77600002289
197,-66.154717545,45.3016518804,-4.81783676147
198,-66.1546862266,45.30161272,-4.74599981308
199,-66.1546549083,45.3015735595,-4.78100013733
200,-66.1546235899,45.3015343991,-4.8060002327
201,-66.1545922717,45.3014952387,-4.73366498947
202,-66.1545609534,45.3014560782,-4.75600004196
203,-66.1545296352,45.3014169178,-4.78901481628
204,-66.1544983171,45.3013777573,-4.77600002289
205,-66.154466999,45.3013385969,-4.74766540527
206,-66.1544356809,45.3012994364,-4.73425579071
207,-66.1544043629,45.3012602759,-4.71645975113
208,-66.1543730449,45.3012211154,-4.72055482864
209,-66.154341727,45.3011819549,-4.72599983215
210,-66.1543104091,45.3011427944,-4.71601295471
211,-66.1542790913,45.3011036339,-4.69897794724
212,-66.1542477735,45.3010644734,-4.76599979401
213,-66.1542164557,45.3010253128,-4.72599983215
214,-66.154185138,45.3009861523,-4.72599983215
215,-66.1541538204,45.3009469917,-4.75600004196
216,-66.1541225027,45.3009078312,-4.73600006104
217,-66.1540911851,45.3008686706,-4.76599979401
218,-66.1540598676,45.30082951,-4.77600002289
219,-66.1540285501,45.3007903494,-4.67600011826
220,-66.1539972327,45.3007511888,-4.75600004196
221,-66.1539659153,45.3007120282,-4.742000103
222,-66.1539345979,45.3006728676,-4.72200012207
223,-66.1539032806,45.300633707,-4.70200014114
224,-66.1538719633,45.3005945464,-4.75199985504
225,-66.1538406461,45.3005553857,-4.73139810562
226,-66.1538093289,45.3005162251,-4.7466044426
227,-66.1537780117,45.3004770644,-4.76200008392
228,-66.1537466946,45.3004379038,-4.72823953629
